Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y
KXD1,62339410.666150026,464292208.46482605,9214851.919475991,12777871.286447747,12777871.286447747,12777871.286447747,12777871.286447747
L1CAM,17359420101.551746,14254018548.468426,12917134077.540548,19116967309.498985,15492466003.084633,15770950382.78176,12185115709.838448
L2HGDH,92271585.15051809,213996130.17341736,107509264.14269836,312320367.1325479,246120269.68944177,291608585.18255657,288359724.6825335
L3HYPDH,11545124.207274733,11545124.207274733,11545124.207274733,10175037.98993975,28286305.28733851,49353165.14303668,10175037.98993975
LACTB,29531990.010781012,32009302.217287432,49133603.33853674,22229070.20197515,22229070.20197515,22229070.20197515,22229070.20197515
LACTB2,16463353.394686297,45040694.80588461,5493002.173938656,124649914.91670056,23592994.024135202,23592994.024135202,115930447.47962756
LAIR2,10130320.87427812,10130320.87427812,10130320.87427812,10435010.586475672,10435010.586475672,10435010.586475672,10435010.586475672
LAMA1,9650027.247385366,9650027.247385366,9650027.247385366,9077061.01636524,9077061.01636524,9077061.01636524,9077061.01636524
LAMA2,23990004.826905563,116568697.62476425,127130519.00996739,179021027.4777169,226026490.958544,200503353.88388434,165417105.27589005
LAMA3;LAMA5,20846460.30863832,199524333.57064432,8972405.481141597,14914752.848872053,14914752.848872053,14914752.848872053,72289708.8815836
LAMA4,45628273.7433834,68770424.464387,39347140.719233446,19617940.038717996,19617940.038717996,19617940.038717996,19617940.038717996
LAMB1,59414846.68484347,42968577.98005727,9851929.586546637,9769049.884897118,9769049.884897118,9769049.884897118,9769049.884897118
LAMB2,224413709.17801207,456415939.2276149,347485008.3234862,368843571.55972165,510960808.6878481,386197565.9800329,630338284.028166
LAMC1,96230524.12277298,206224559.16060144,169412646.65879217,205175755.28209013,218962948.32771194,145870683.6294272,362931451.646937
LAMP1,239787428.4972626,329107152.69875073,278746816.1712119,486194647.2752521,492096287.4795875,615225136.0755868,557505954.02234
LAMP2,23830907.17941953,4848438.456746633,70577163.24712126,371320374.24790186,273711121.79455215,378480119.4449538,343795619.35146815
LAMP5,8147979.945368822,8147979.945368822,8147979.945368822,482387638.1741026,16851741.68331005,373123288.6817451,16851741.68331005
LAMTOR1,265141302.43166587,404225796.9108037,346877828.1076342,458918499.7886859,447879254.7587204,548435701.006674,424487939.66326714
LAMTOR2,249458136.0364866,227684345.39269698,186378098.0780559,200266735.84719473,220551992.13736695,180035291.7810319,213899005.90800813
LAMTOR3,547756029.7327913,237973440.79583034,291494402.3536755,53288830.18972369,399930400.9089044,700216490.2845721,53288830.18972369
LAMTOR4,11444648.908207545,11444648.908207545,11444648.908207545,53584528.706134304,10019653.915181031,10019653.915181031,10019653.915181031
LAMTOR5,127911797.21494886,247489562.135668,1141794.5268472282,46031042.06517216,46031042.06517216,513720905.9930357,510090751.53363883
LANCL1,8523050929.941648,9380125849.968872,8112277189.315604,8295266174.197725,6775151174.457808,8803801921.239853,7630969406.189726
LANCL2,2469345712.288985,2036295015.104198,2035502620.381899,1844506139.3774831,2253680409.3385015,2382600892.8828974,1846841686.975257
LAP3,2953209460.8443093,2424467878.6601324,2329729704.207424,2339152294.970362,2102817586.9948957,2577060068.4619336,2870552494.9868536
