Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y
EPHB6,8939838.27668288,73118198.29324818,8939838.27668288,16665497.358408067,16665497.358408067,16665497.358408067,16665497.358408067
EPHX1,1288142331.3771276,1304988404.0212443,2127312600.9148781,1327640726.2225924,1500893817.998818,1693152579.927379,890796937.111665
EPHX2,119260769.54277308,9525560.063146938,145466997.7656285,164985973.7790326,15080058.39952643,182001912.8216368,171065517.17173234
EPHX4,9082585.279639237,9082585.279639237,33106193.377985366,15439446.40264298,15439446.40264298,15439446.40264298,15439446.40264298
EPM2AIP1,244447848.81658658,177458527.35831907,130538160.5087714,49172651.94642892,49172651.94642892,49172651.94642892,49172651.94642892
EPN1,1454525133.0001223,2078341311.8242655,2151939025.1320624,1843555736.7907057,1277127148.795391,1600414106.4354177,1235883879.5944316
EPN2,255940788.18471363,200565579.27689826,264523827.70938796,15636144.555031162,260266015.6995125,209421835.98595992,15636144.555031162
EPPK1,27479568.161537718,9478197.862720283,9478197.862720283,14034073.971502043,14034073.971502043,14034073.971502043,14034073.971502043
EPRS,2419379852.3922653,2378329927.9933934,2304774939.0457187,2055963681.5011013,1877689742.4892747,2629031088.4804287,1277829989.1774623
EPS15,65382225.48598478,47868168.3662532,5744128.158744201,23952894.425471246,23952894.425471246,23952894.425471246,23952894.425471246
EPS15L1,923737572.472379,1109955932.607757,966766187.9052653,963521232.5751376,1034263712.3112595,996067555.8833237,720981582.6772349
EPS8,9823336.196222356,9823336.196222356,9823336.196222356,9717610.70270289,9717610.70270289,9717610.70270289,9717610.70270289
EPS8L2,9844782.999917867,9844782.999917867,9844782.999917867,11608744.267561262,11608744.267561262,11608744.267561262,11608744.267561262
EPT1,25754784.332411006,9975164.186498819,51560533.158526294,9619325.810155168,9619325.810155168,9619325.810155168,9619325.810155168
ERAP1,60939902.64825658,77585708.50139278,121501226.3984211,17477130.710015215,17477130.710015215,17477130.710015215,118396803.17884843
ERC1,214506211.34862226,92935494.4322925,107807212.27185388,40169413.02908419,40169413.02908419,40169413.02908419,40169413.02908419
ERC2,1236738962.6023545,1535521528.611447,1107463816.0303202,1256342947.2628949,877024372.3510185,963980115.5316886,488763640.119181
ERCC3,9657284.396661153,9657284.396661153,182486279.6054768,9532158.551584205,9532158.551584205,9532158.551584205,9532158.551584205
ERGIC1,91605013.65728278,8966994.471507685,8966994.471507685,15411739.884893008,15411739.884893008,15411739.884893008,15411739.884893008
ERH,107014373.24963193,23188316.245072473,449504750.4515036,267710688.26276848,369169422.349922,439346690.29084086,215328044.31433788
ERI3,894189862.6449254,825149517.7753534,810273947.707453,681392524.5787468,558880044.2765597,696369785.4506088,411043728.5536367
ERLEC1,18461948.648400974,8246996.895930662,8246996.895930662,17032964.611172564,17032964.611172564,17032964.611172564,17032964.611172564
ERLIN1,10239145.25856142,10239145.25856142,10239145.25856142,9735749.795775613,9735749.795775613,9735749.795775613,9735749.795775613
ERLIN2,739110366.786412,769971394.0872964,870425584.3001144,499267317.19255424,1156191729.3831122,862461256.3033749,589342981.6700842
ERMN,598939211.2749254,457677948.84118265,1490918246.2944875,572481380.9479032,672694038.4581733,204123877.49180734,7476149.332197449
ERMP1,34974777.98645181,31875291.640224747,35700557.26087633,29759238.47340517,29759238.47340517,29759238.47340517,29759238.47340517
ERO1L,197007987.2632044,358362483.2127371,246845306.9046411,332256613.61955744,275678900.1856454,268738986.3953557,45937076.31719023
ERP29,1185392115.4930122,970174251.8714811,955439514.0335726,1105056919.4310043,857074787.5305635,1320792172.884421,993163529.2469745
ERP44,623198058.5381501,580997099.6655701,719536092.7087281,626972813.5489345,730502232.2865144,758918667.9976199,547398003.8852422
ESD,4955474097.486063,6000838745.99211,6322388142.177166,3846138099.7880445,3450471174.278609,3783473604.085001,2175053506.4849257
ESPN,15152964.211152855,15152964.211152855,15152964.211152855,10050337.665977145,61495515.38217942,10050337.665977145,10050337.665977145
ESYT1,648878966.4668549,740123996.7546204,1078668531.3955019,576110514.7157768,539927851.3950899,507872664.50558853,373206731.51720256
ESYT2,316771285.95440763,606676053.966516,719556364.3546644,488641221.02485776,325043010.1199016,333969316.3853502,284031774.8383472
ETF1,638789477.5263377,313041156.4609582,348877789.20165014,460701574.70582247,42810738.260611445,526705652.6889019,270130977.16846657
ETFA,3560974592.4940133,3252686704.573625,2915904667.719977,3576725570.104662,2405808628.1623077,3949933511.597105,3316418712.995886
ETFB,3397660338.3707886,2779591964.4307985,2826185720.763109,2715069686.415889,2950064855.4959946,3228158598.9704914,2221126599.4116254
ETFDH,703473659.8569658,1079008172.801012,905299367.1983316,679506796.8906609,630663169.6540776,961665273.0368963,323303375.08652794
ETHE1,210065493.26204664,245606058.7360569,2371170.2061188617,241285863.9832801,29205244.94312459,359377577.03818184,294168509.5621727
EVI5L,51128620.81241242,42624444.91948662,43437108.36575085,23080105.331848867,23080105.331848867,23080105.331848867,23080105.331848867
EVL,395512507.1597368,395605868.6932144,213520347.26134554,34667158.405139305,34667158.405139305,34667158.405139305,34667158.405139305
EWSR1,327161770.08956826,247706018.9882125,255228751.76667285,241239968.89396936,279054317.5869464,227520307.28463337,43453933.81020171
EXD2,9671577.541394353,9671577.541394353,9671577.541394353,13054430.54930197,13054430.54930197,13054430.54930197,13054430.54930197
EXOC1,482159207.2966083,306056219.6340826,352163241.0882261,71289851.93355681,71289851.93355681,698320327.2406471,71289851.93355681
EXOC2,512261607.55587244,492987653.4555372,455413707.3865906,376299560.25318944,412998371.7978709,555179548.8054206,238269657.3108253
