Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y
AKR1C2,60978304.93502805,10663200.315444272,10663200.315444272,10629904.73495064,10629904.73495064,10629904.73495064,170482986.11132306
AKR1C3,17735110.39291431,297447205.90574825,281384284.5391873,45476576.41257117,45476576.41257117,407281267.1256228,388722095.2044702
AKR7A2,1380138134.017463,2745768429.8026967,1667042005.2867613,2559948631.7983785,2126862430.893981,2831451996.890804,3069779297.526299
AKR7A3,7366696.058021747,57381818.5724979,7366696.058021747,23946190.155932892,23946190.155932892,23946190.155932892,23946190.155932892
AKT1,57326931.45261734,7673415.436229494,42650315.29860677,23788891.515115328,23788891.515115328,23788891.515115328,23788891.515115328
AKT1S1,21465526.29779859,51481259.491760954,50548119.96229241,15246019.5278481,15246019.5278481,15246019.5278481,15246019.5278481
AKT2;AKT3,583070929.8449906,595415187.9388465,498810166.4193629,50523598.065238886,450962047.24978113,535772527.7781437,823478269.6872071
AKTIP,69275862.60344875,58241245.060999416,9241286.144061442,13116107.560336439,13116107.560336439,13116107.560336439,13116107.560336439
ALAD,1166144467.598416,3093618133.3169413,2281171363.67504,1712935358.154241,2524200104.6156187,1813130508.1427774,3517392331.35603
ALB,175830860498.54767,164229781017.75952,73110121862.13403,42929203367.565834,153200197121.40466,139278023447.83902,133476231498.02133
ALCAM,5222391744.376102,3031388681.332015,2322249335.0745792,2627033548.053065,2595707595.27083,1546173916.9416506,3103348534.6687474
ALDH16A1,28883351.73362814,32097157.380504567,29067917.54572806,19740366.548742794,19740366.548742794,19740366.548742794,19740366.548742794
ALDH18A1,75285011.79860201,70843754.22382708,51311276.11220948,18286176.162912972,18286176.162912972,73689165.47603212,18286176.162912972
ALDH1A1,2152573851.9590163,6459744474.148253,6003623372.897294,4339166667.38536,5069008722.073376,4039387639.4642844,3725771403.2391553
ALDH1A2;ALDH1B1,166943887.46909544,146654504.66990152,423951664.48854625,378122521.75030774,252916274.5254687,425085796.2872106,214973007.68045643
ALDH1L1,1975954784.432848,2713823904.534434,2259955374.644189,4001589626.989712,3502273791.4980536,3242777718.7391043,3361719334.150127
ALDH2,15278524027.06498,18252643130.355606,18172349834.813103,17917384616.411327,16601182676.622784,19174970743.93327,19460336579.051727
ALDH3A2,322925750.6272841,338671792.4447784,297498979.0051072,617755154.48871,680799776.6538355,606115387.3341408,726869089.0936095
ALDH4A1,2820945496.948936,3736310099.1479096,3430686116.481924,4045676099.348848,3281445819.171982,4743015453.993756,3793282641.0682836
ALDH5A1,6208199391.455801,3379301643.2294393,6660827678.1925745,8118759185.9724655,6378649074.262572,7704422498.485956,6573476164.267083
ALDH6A1,10509110205.228333,11817601998.082018,12199795642.09931,11510598542.377323,13677534581.615076,12628333596.028538,14862316251.118069
ALDH7A1,6706152086.212934,14101338780.100744,8713902178.99327,11014445493.429579,12811575533.211084,9305846903.56649,16132730039.259886
ALDH9A1,4872262213.004753,6493157929.403831,5767133790.070909,4540748524.579196,6082723000.602634,6664495129.368118,7434983418.577042
ALDOA,106093448486.46228,114793571096.92247,140546520894.94553,124617599696.42769,100276804815.15598,121848943512.44955,116800396669.49135
ALDOB,9953783.152117798,9953783.152117798,9953783.152117798,10152513.21123514,10152513.21123514,10152513.21123514,10152513.21123514
