Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y
FKBP2,1868977899.0051975,1537091081.1044528,1678614209.1004052,1055152594.8473862,1212889292.2821739,1050872618.4442862,1097547381.3437457
FKBP3,1304403961.3599064,1049627650.0951214,1031825899.8621569,1234889872.4055145,1338338373.0499017,1277153462.3957932,998202980.7826642
FKBP4,2137605818.5795686,2545309400.6672707,2029873623.4314907,2987472282.98415,2005862331.7704637,2408117869.490803,2933718360.077706
FKBP8,522076196.8311546,363749462.6235388,368299114.7681615,394698726.00776684,371205044.63472754,587470548.4685143,384434455.749021
FLAD1,43721604.162314706,51780377.72728545,60500892.56322883,18402131.563258853,18402131.563258853,18402131.563258853,18402131.563258853
FLII,683436603.6085435,286510258.1727701,327653450.1628176,629006287.5836284,606609609.5989044,398181414.26863104,298643294.9894416
FLJ22184,239122370.79789987,157130981.10826725,137337668.0694883,205165109.71619472,14965212.533528026,14965212.533528026,164540701.06893942
FLNA,2457988416.488983,1835930425.7776854,2865242441.26352,1880374564.803281,2131397651.4487615,1940705535.9209619,1964930725.32945
FLNB,153545409.58687147,148492683.2897883,83344150.66823223,45005585.34182331,227000445.4900052,114768041.38588957,96939040.0372886
FLNC,53325778.13677999,10134279.555660902,10134279.555660902,12195220.768567521,147060114.30544034,12195220.768567521,12195220.768567521
FLOT1,3689804958.1038985,4079787042.5418773,5158519446.775249,5263507716.941459,4087678374.1139174,4059541398.276449,5556510467.245816
FLOT2,2730475511.925487,3686894522.8824797,4250614552.031215,3843709512.262306,2736987941.3803563,3608464467.806965,4299071570.827445
FLYWCH1;FLYWCH2,10020030.887990395,10020030.887990395,10020030.887990395,11253575.374192784,11253575.374192784,11253575.374192784,11253575.374192784
FMN2,181215610.60996512,106987550.40652207,240723334.7652134,456533774.61607885,367015486.81475204,34656747.835061915,252821241.9442818
FMNL2,1015637685.008514,1597764293.097531,851682698.5705023,831029094.1370777,1228477832.8448246,900711889.4617406,882821217.6262963
FMOD,9664538.489397373,9664538.489397373,91519551.91008046,11922261.348792981,11922261.348792981,11922261.348792981,11922261.348792981
FMR1,66667351.39845969,29895673.506772146,50795621.26386532,66645548.54583043,66645548.54583043,66645548.54583043,66645548.54583043
FN1,60507609.10800362,25218647.068184234,117863434.43607199,14201856.06875199,206399352.25171372,254834437.98233405,44609149.85564226
FN3K,904215776.1645253,1313673185.958434,1198211712.7853038,1134893944.9291553,1180265439.4691844,1256739419.5390093,1343541082.7098405
FN3KRP,136350198.9777138,438241442.07561517,203185303.3131866,59700682.235331,1780107054.554386,59700682.235331,59700682.235331
FNBP1,14793957.090244265,147238587.13080162,67145540.09687242,177039150.1261913,171637328.41770336,27667082.72260433,175001599.7338281
FNBP1L,110091066.04548317,70635122.35676822,83137286.6421572,17937791.3891272,17937791.3891272,17937791.3891272,17937791.3891272
FNTA,263732641.15785345,211827711.30502456,172185704.15700454,182893033.47184622,122135336.53169374,32251857.00493122,141059725.8965197
